id;club-id;trikot-number;player-name;country;total-games;goals;assists
536;14;1;Mitchell Langerak;AUS;0;0;0
537;14;0;Benjamin Uphoff;D;0;0;0
538;14;2;Emiliano Insua;ARG;32;0;2
539;14;3;Daniel Schwaab;D;27;0;1
540;14;16;Florian Klein;A;22;0;2
541;14;4;Toni Sunjic;BOS;18;1;0
542;14;6;Georg Niedermeier;D;18;3;1
543;14;32;Timo Baumgartl;D;17;0;0
544;14;15;Kevin Großkreutz;D;9;0;0
545;14;21;Adam Hlousek;CZE;7;0;0
546;14;14;Philipp Heise;D;4;0;0
547;14;24;Federico Barba;I;2;1;0
548;14;24;Antonio Rüdiger;D;0;0;0
549;14;10;Daniel Didavi;D;29;12;4
550;14;18;Filip Kostic;SER;28;5;5
551;14;8;Lukas Rupp;D;27;5;6
552;14;20;Christian Gentner;D;27;4;4
553;14;26;Geoffroy Serey Die;CIV;23;1;1
554;14;44;Alexandru Maxim;ROM;23;1;6
555;14;27;Mart Ristl;D;3;0;0
556;14;31;Arianit Ferati;D;3;0;1
557;14;0;Robbie Kruse;AUS;3;0;0
558;14;11;Carlos Gruezo;ECU;2;0;0
559;14;28;Marvin Wanitzek;D;1;0;0
560;14;0;Matthias Zimmermann;D;1;0;0
561;14;23;Kevin Stöger;A;0;0;0
562;14;19;Timo Werner;D;31;6;4
563;14;7;Martin Harnik;A/D;18;2;0
564;14;23;Artem Kravets;UKR;14;1;1
565;14;39;Jan Kliment;CZE;8;1;0
566;14;33;Daniel Ginczek;D;7;3;2
567;14;34;Borys Tashchy;RUS;7;0;1
568;14;9;Vedad Ibisevic;BOS;0;0;0
569;14;42;Jerome Kiesewetter;D;0;0;0
570;13;1;Ron-Robert Zieler;D;32;0;0
571;13;13;Philipp Tschauner;D;0;0;0
572;13;30;Samuel Radlinger;A;0;0;0
573;13;40;Timo Königsmann;D;0;0;0
574;13;4;Hiroki Sakai;JAP;26;1;0
575;13;19;Christian Schulz;D;24;2;1
576;13;3;Miko Albornoz;SWE;20;0;2
